angDist,_RAJ2000,_DEJ2000,recno,A,Name,RAJ2000,DEJ2000,amaj,ell,[3.6],[4.5],c31,M3.6,M4.5,logM*,Dmean,TT,Vr,S4G,Simbad,NED,LEDA,_RAJ2000,_DEJ2000,recno,Name,f_Name,RAJ2000,DEJ2000,vlsr,PA,i,Dist,r_Dist,logMstar,f_logMstar,r25,Re,lstar,logSFR,f_logSFR,l_logLCO,logLCO,Corr,logMHI,Res1,Res2,S4G,L19,Ntot,N7m,N12m,Simbad,LEDA
0.771301,160.99062,11.70366,941,,NGC3351,160.99062,11.70366,253.3,0.261,9.2,9.668,5.757,-20.825,-20.356,10.486,10.113,3.1,777.6,S4G,Simbad,NED,LEDA,160.990833,11.703611,35,NGC3351,,10 43 57.8,+11 42 13,774.7,193.2,45.1,9.96,"    6",10.37,I,10.5,3.0,2.1,0.12,FUVW4,,8.13,1.55,8.93,1.46,70.7,1,1,8,2,1,Simbad,LEDA
0.542661,165.07735,13.90115,1032,,NGC3489,165.07735,13.90115,145.1,0.354,10.041,10.553,6.274,-19.865,-19.353,10.135,9.576,-1.2,708.0,S4G,Simbad,NED,LEDA,165.0775,13.901111,36,NGC3489,X,11 00 18.6,+13 54 04,692.1,70.0,63.7,11.86," 2,13",10.29,I,5.9,1.3,1.4,-1.59,FUVW4,,6.89,1.37,7.4,0.75,42.9,1,1,4,5,1,Simbad,LEDA
0.444699,193.59922,-10.53711,1121,,NGC4781,193.59922,-10.53711,125.0,0.508,11.058,11.454,2.713,-19.98,-19.584,10.095,16.125,7.0,1262.4,S4G,Simbad,NED,LEDA,193.599167,-10.537222,69,NGC4781,,12 54 23.8,-10 32 14,1248.3,290.0,59.0,11.31,"    7",9.64,I,6.1,2.0,1.1,-0.32,FUVW4,,7.82,1.05,8.94,1.31,71.7,1,1,7,4,3,Simbad,LEDA
1.097418,194.18185,21.68308,1135,,NGC4826,194.18185,21.68308,350.0,0.452,7.963,8.453,4.318,-20.675,-20.185,10.443,5.341,2.3,409.0,S4G,Simbad,NED,LEDA,194.181667,21.683333,70,NGC4826,,12 56 43.6,+21 41 00,409.7,293.6,59.1,4.41,"    5",10.24,I,6.7,1.5,1.1,-0.69,FUVW4,,7.79,1.28,8.26,1.26,26.9,0,1,7,6,2,Simbad,LEDA
0.602284,49.92101,-19.4111,1164,,NGC1300,49.92101,-19.4111,205.5,0.101,10.201,10.652,3.103,-21.081,-20.631,10.576,18.05,4.0,1578.2,S4G,Simbad,NED,LEDA,49.920833,-19.411111,10,NGC1300,,03 19 41.0,-19 24 40,1545.4,278.0,31.8,18.99,"  3,4",10.62,I,16.4,6.5,3.7,0.07,FUVW4,,8.5,1.28,9.38,1.23,113.1,1,1,20,6,3,Simbad,LEDA
2.282537,49.5642,-66.49737,1170,,NGC1313,49.5642,-66.49737,421.3,0.304,9.387,9.649,3.397,-18.596,-18.335,9.442,3.951,7.0,471.5,S4G,Simbad,NED,LEDA,49.565417,-66.497778,9,NGC1313,X,03 18 15.7,-66 29 52,451.2,23.4,34.8,4.32,"    6",9.26,I,7.0,2.5,2.1,-0.14,FUVW4,,,,9.28,7.93,166.0,0,1,10,3,0,Simbad,LEDA
0.416081,186.79845,9.42055,1176,,NGC4424,186.79845,9.42055,146.9,0.472,11.506,11.932,4.764,-19.508,-19.081,9.929,15.95,1.0,437.0,S4G,Simbad,NED,LEDA,186.798333,9.420556,51,NGC4424,,12 27 11.6,+09 25 14,447.4,88.3,58.2,16.2,"    6",9.93,I,7.2,3.7,2.2,-0.53,FUVW4,,7.59,1.16,8.3,1.14,89.4,1,1,2,1,1,Simbad,LEDA
0.489131,187.24594,3.57064,1190,,NGC4457,187.24594,3.57064,158.6,0.047,10.214,10.715,8.833,-20.989,-20.488,10.576,17.4,0.4,888.2,S4G,Simbad,NED,LEDA,187.245833,3.570556,52,NGC4457,,12 28 59.0,+03 34 14,886.0,78.7,17.4,15.1," 2,13",10.42,I,6.1,1.5,2.2,-0.52,FUVW4,,8.21,1.15,8.36,1.11,81.3,1,1,3,2,1,Simbad,LEDA
0.527516,53.40155,-36.14039,1226,,NGC1365,53.40155,-36.14039,382.5,0.388,8.699,8.89,13.544,-22.568,-22.378,10.978,17.926,3.2,1636.8,S4G,Simbad,NED,LEDA,53.401667,-36.140278,13,NGC1365,,03 33 36.4,-36 08 25,1613.3,201.1,55.4,19.57,"    6",11.0,I,34.2,2.8,13.1,1.24,FUVW4,,9.49,1.36,9.94,1.38,130.8,1,1,0,2,3,Simbad,LEDA
1.563005,54.3687,-24.5012,1229,,NGC1385,54.3687,-24.5012,133.3,0.358,10.752,11.098,3.09,-20.121,-19.775,10.115,14.95,5.9,1497.8,S4G,Simbad,NED,LEDA,54.369167,-24.501111,14,NGC1385,,03 37 28.6,-24 30 04,1476.8,181.3,44.0,17.22,"  3,4",9.98,I,8.5,3.4,2.6,0.32,FUVW4,,8.37,1.09,9.19,1.27,105.9,0,0,11,3,2,Simbad,LEDA
0.549441,201.32724,-21.13421,1293,,NGC5134,201.32724,-21.13421,120.2,0.011,10.779,11.221,3.986,-19.406,-18.964,9.899,10.889,2.9,1752.6,S4G,Simbad,NED,LEDA,201.327083,-21.134167,76,NGC5134,,13 25 18.5,-21 08 03,1749.1,311.6,22.7,19.92,"    7",10.41,I,7.9,2.9,2.1,-0.34,FUVW4,,7.98,1.14,8.92,1.23,119.0,1,1,3,2,1,Simbad,LEDA
